Order_ID,Date,Product,Category,Region,Quantity,Sales
1001,2026-01-04,Laptop,Electronics,Bengaluru,2,120000
1002,2026-01-05,Keyboard,Electronics,Mysuru,5,7500
1003,2026-01-06,Chair,Furniture,Chennai,3,18000
1004,2026-02-02,Desk,Furniture,Bengaluru,2,22000
1005,2026-02-11,Mouse,Electronics,Hyderabad,8,9600
1006,2026-02-18,Notebook,Stationery,Chennai,15,3000
1007,2026-03-01,Pen Set,Stationery,Bengaluru,20,4000
1008,2026-03-04,Monitor,Electronics,Hyderabad,4,52000
1009,2026-03-15,Sofa,Furniture,Mysuru,1,35000
1010,2026-04-03,Printer,Electronics,Bengaluru,2,28000
1011,2026-04-08,Table,Furniture,Chennai,2,26000
1012,2026-04-10,Markers,Stationery,Hyderabad,10,2500
