Product_ID,City,Category,Product_Name,Brand,Seller_Name,Price_INR,Stock_Available,Units_Sold,Customer_Rating
1000,Mumbai,Electronics,Smartphone,Godrej,Choudhury and Sons,114526,405,401,3.9
1001,Mumbai,Electronics,Smartphone,Prestige,"Chaudhary, Loke and Johal",46123,498,91,4.0
1002,Mumbai,Electronics,Smartphone,Bajaj,Rama PLC,140154,429,309,4.4
1003,Mumbai,Electronics,Smartphone,Puma,Bail and Sons,88749,102,85,5.0
1004,Mumbai,Electronics,Smartphone,Puma,Baral Inc,65194,352,113,4.2
1005,Mumbai,Electronics,Laptop,Tata,"Sane, Sahni and Bobal",2310,359,247,3.6
1006,Mumbai,Electronics,Laptop,Philips,Tank-Rajagopalan,85610,248,137,3.6
1007,Mumbai,Electronics,Laptop,Mi,"Kota, Banerjee and Atwal",135198,64,43,4.4
1008,Mumbai,Electronics,Laptop,Samsung,Dhar Ltd,129915,254,199,3.6
1009,Mumbai,Electronics,Laptop,Bajaj,"Gokhale, Banik and Dugal",26725,494,339,4.7
1010,Mumbai,Electronics,Smart TV,LG,"Chahal, Guha and Sarraf",44189,160,149,4.1
1011,Mumbai,Electronics,Smart TV,Nike,Brar-Garg,148802,500,353,3.7
1012,Mumbai,Electronics,Smart TV,Tata,"Dhar, Zachariah and Mannan",30734,75,26,4.5
1013,Mumbai,Electronics,Smart TV,Puma,Bali-Sane,29070,93,83,3.7
1014,Mumbai,Electronics,Smart TV,Puma,Dara Ltd,100219,146,31,4.7
1015,Mumbai,Electronics,Bluetooth Speaker,Ikea,Sampath PLC,5033,335,120,3.8
1016,Mumbai,Electronics,Bluetooth Speaker,Boat,Lanka Group,26169,68,34,4.2
1017,Mumbai,Electronics,Bluetooth Speaker,Philips,Loke-Karan,64129,96,9,4.3
1018,Mumbai,Electronics,Bluetooth Speaker,Philips,"Wali, Sahni and Walia",36679,26,2,3.7
1019,Mumbai,Electronics,Bluetooth Speaker,Nike,"Tara, Bora and Upadhyay",65790,464,208,3.6
1020,Mumbai,Electronics,Tablet,Godrej,Ganesh-Mangat,53308,393,74,3.6
1021,Mumbai,Electronics,Tablet,Reliance,"Dar, Barman and Borah",2310,39,22,4.4
1022,Mumbai,Electronics,Tablet,Bajaj,Desai Ltd,126734,31,29,3.5
1023,Mumbai,Electronics,Tablet,Mi,Magar-Balasubramanian,137138,499,388,4.4
1024,Mumbai,Electronics,Tablet,Dell,Tak-Cherian,88512,462,98,4.4
1025,Mumbai,Electronics,Gaming Console,Philips,"Lalla, Wadhwa and Bath",44398,253,13,5.0
1026,Mumbai,Electronics,Gaming Console,Prestige,"Guha, Rastogi and Swamy",68452,230,53,4.1
1027,Mumbai,Electronics,Gaming Console,Puma,Sarraf-Kapur,39090,212,69,4.3
1028,Mumbai,Electronics,Gaming Console,Prestige,Kibe Ltd,25577,446,80,4.7
1029,Mumbai,Electronics,Gaming Console,Godrej,Bumb-Shere,112274,362,313,4.0
1030,Mumbai,Electronics,Smart Watch,HP,"Kothari, Rege and Rattan",3689,83,75,4.6
1031,Mumbai,Electronics,Smart Watch,Prestige,"Baral, Bhandari and Hayre",149388,204,16,4.5
1032,Mumbai,Electronics,Smart Watch,LG,Wable Ltd,141108,325,195,4.0
1033,Mumbai,Electronics,Smart Watch,Dell,Kala Inc,112790,395,53,5.0
1034,Mumbai,Electronics,Smart Watch,Lenovo,"Mangal, Sarkar and Gokhale",24958,490,205,3.6
1035,Mumbai,Electronics,Headphones,Ikea,Shroff-Gole,55737,139,75,4.4
1036,Mumbai,Electronics,Headphones,Sony,Desai PLC,46974,384,75,4.4
1037,Mumbai,Electronics,Headphones,Ikea,"Sarma, Gill and Swaminathan",87627,273,156,4.4
1038,Mumbai,Electronics,Headphones,Dell,Anne-Babu,54940,258,187,4.5
1039,Mumbai,Electronics,Headphones,Boat,"Chaudhry, Soni and Bhasin",35918,448,163,4.5
1040,Mumbai,Furniture,Sofa,Apple,Kaur Inc,130063,223,158,5.0
1041,Mumbai,Furniture,Sofa,Reliance,"Rau, Randhawa and Bumb",82352,131,9,3.6
1042,Mumbai,Furniture,Sofa,Nike,"Chaudhuri, Divan and Khanna",98140,306,288,4.1
1043,Mumbai,Furniture,Sofa,Philips,Ratta-Deol,138999,485,277,3.9
1044,Mumbai,Furniture,Sofa,Bajaj,"Date, Borah and Bhagat",41439,217,96,4.1
1045,Mumbai,Furniture,Dining Table,Puma,"Korpal, Hegde and Batta",111944,45,37,3.6
1046,Mumbai,Furniture,Dining Table,Samsung,Savant-Borah,133404,428,315,4.3
1047,Mumbai,Furniture,Dining Table,Prestige,Apte-Sunder,6106,388,80,4.9
1048,Mumbai,Furniture,Dining Table,Reliance,Chaudhry Inc,116807,318,187,4.0
1049,Mumbai,Furniture,Dining Table,Samsung,"Kunda, Chokshi and Char",31633,333,88,5.0
1050,Mumbai,Furniture,Office Chair,Dell,"Dass, Kaul and Rao",56140,139,99,3.9
1051,Mumbai,Furniture,Office Chair,Adidas,"Suresh, Tandon and Divan",146212,279,33,4.2
1052,Mumbai,Furniture,Office Chair,Dell,Sabharwal-Tank,1359,270,4,4.0
1053,Mumbai,Furniture,Office Chair,Reliance,Bassi PLC,9792,290,185,3.7
1054,Mumbai,Furniture,Office Chair,Philips,Gole-Chandran,36621,304,65,3.7
1055,Mumbai,Furniture,Bed,Tata,"Hegde, Bajaj and Bakshi",125919,140,5,3.6
1056,Mumbai,Furniture,Bed,Adidas,Kar-Raj,117978,397,10,4.8
1057,Mumbai,Furniture,Bed,Lenovo,Mannan PLC,85637,338,294,3.7
1058,Mumbai,Furniture,Bed,Puma,Bath and Sons,96097,81,31,4.6
1059,Mumbai,Furniture,Bed,LG,Tata-Magar,58379,21,6,4.2
1060,Mumbai,Furniture,Wardrobe,Ikea,Subramanian Inc,39551,296,168,3.5
1061,Mumbai,Furniture,Wardrobe,Tata,Choudhry PLC,6923,10,10,4.7
1062,Mumbai,Furniture,Wardrobe,Nike,"Bhasin, Manda and Guha",138107,391,302,3.9
1063,Mumbai,Furniture,Wardrobe,HP,Rau Inc,33442,155,121,4.6
1064,Mumbai,Furniture,Wardrobe,LG,Dewan-Batra,93436,102,62,3.9
1065,Mumbai,Furniture,Bookshelf,Samsung,Chauhan-Kapur,76950,345,128,3.7
1066,Mumbai,Furniture,Bookshelf,HP,"Rege, Vyas and Samra",68568,48,46,4.1
1067,Mumbai,Furniture,Bookshelf,Apple,"Kurian, Karan and Bansal",117849,118,9,4.1
1068,Mumbai,Furniture,Bookshelf,Lenovo,"Walia, Lad and Dutta",43861,482,442,4.0
1069,Mumbai,Furniture,Bookshelf,Prestige,"Johal, Suresh and Sarraf",121793,147,146,3.6
1070,Mumbai,Furniture,Coffee Table,Prestige,"Anand, Date and Gole",14359,390,93,4.2
1071,Mumbai,Furniture,Coffee Table,Boat,Sani Ltd,62115,194,136,4.5
1072,Mumbai,Furniture,Coffee Table,Samsung,Gole Inc,56370,90,9,4.8
1073,Mumbai,Furniture,Coffee Table,Nike,"Chowdhury, Ratti and Bala",47132,349,305,3.6
1074,Mumbai,Furniture,Coffee Table,Prestige,Deshmukh-Sami,108177,84,2,4.1
1075,Mumbai,Furniture,TV Unit,Tata,"Batra, Rout and Chand",22450,31,5,4.0
1076,Mumbai,Furniture,TV Unit,Apple,Dalal LLC,137548,181,84,3.8
1077,Mumbai,Furniture,TV Unit,Reliance,Choudhary and Sons,51396,118,47,4.3
1078,Mumbai,Furniture,TV Unit,Adidas,"Vaidya, Master and Sharma",1513,332,288,3.8
1079,Mumbai,Furniture,TV Unit,Ikea,Gola-Jaggi,78173,485,445,3.6
1080,Mumbai,Fashion,T-Shirt,Sony,Bhakta-Agate,28639,359,63,3.5
1081,Mumbai,Fashion,T-Shirt,LG,Shankar-Hans,76446,186,179,3.6
1082,Mumbai,Fashion,T-Shirt,Reliance,"Kala, Sabharwal and Dash",9431,131,60,5.0
1083,Mumbai,Fashion,T-Shirt,Prestige,Hayer LLC,32412,279,88,4.3
1084,Mumbai,Fashion,T-Shirt,HP,"Cherian, Gour and Khosla",52142,183,143,4.8
1085,Mumbai,Fashion,Jeans,Sony,Chawla PLC,107615,437,122,4.7
1086,Mumbai,Fashion,Jeans,Prestige,Saran-Thakur,24474,319,301,4.8
1087,Mumbai,Fashion,Jeans,LG,"Konda, Kala and Atwal",16322,171,160,3.5
1088,Mumbai,Fashion,Jeans,Adidas,"Aggarwal, Dixit and Mane",26554,25,21,3.5
1089,Mumbai,Fashion,Jeans,Boat,"Rau, Badal and Din",4992,327,148,4.0
1090,Mumbai,Fashion,Kurti,Tata,Kala-Raju,129467,353,30,4.1
1091,Mumbai,Fashion,Kurti,Philips,"Dhillon, Yohannan and Ramaswamy",109981,328,145,3.7
1092,Mumbai,Fashion,Kurti,Philips,Agarwal-Walla,85706,130,104,4.9
1093,Mumbai,Fashion,Kurti,Lenovo,Banik-Dhawan,26824,234,124,3.6
1094,Mumbai,Fashion,Kurti,Ikea,Raju and Sons,5182,312,166,4.3
1095,Mumbai,Fashion,Sneakers,Lenovo,Sidhu-Bedi,80159,299,69,4.0
1096,Mumbai,Fashion,Sneakers,Bajaj,Chandran PLC,76755,417,394,4.4
1097,Mumbai,Fashion,Sneakers,Samsung,Dugar-Bali,51699,10,5,4.0
1098,Mumbai,Fashion,Sneakers,Samsung,Ramanathan-Mahajan,101270,268,69,4.3
1099,Mumbai,Fashion,Sneakers,Samsung,Saha-Banik,130605,413,48,3.8
1100,Mumbai,Fashion,Jacket,Boat,Gill-Sami,148156,439,105,3.6
1101,Mumbai,Fashion,Jacket,Apple,"Kade, Buch and Walia",83861,447,410,4.4
1102,Mumbai,Fashion,Jacket,Puma,"Dhingra, Vala and Johal",133036,35,19,3.9
1103,Mumbai,Fashion,Jacket,Samsung,"Deshpande, Bansal and Vora",116609,217,151,4.7
1104,Mumbai,Fashion,Jacket,Boat,Divan PLC,55879,95,34,3.7
1105,Mumbai,Fashion,Watch,Philips,"Sundaram, Mane and Wali",80661,487,168,3.9
1106,Mumbai,Fashion,Watch,Lenovo,Ghose Inc,144085,420,38,3.6
1107,Mumbai,Fashion,Watch,LG,"Karnik, Sidhu and Doctor",6221,84,33,4.2
1108,Mumbai,Fashion,Watch,Bajaj,Datta-Sridhar,96633,50,39,4.3
1109,Mumbai,Fashion,Watch,Tata,Grover-Bajaj,104847,300,1,4.0
1110,Mumbai,Fashion,Handbag,Nike,Kumer-Yadav,100666,379,156,4.3
1111,Mumbai,Fashion,Handbag,Lenovo,"Shanker, Agrawal and Sankar",85549,363,230,5.0
1112,Mumbai,Fashion,Handbag,Godrej,"Brahmbhatt, Sengupta and Kunda",65704,367,110,4.9
1113,Mumbai,Fashion,Handbag,Philips,Mallick Ltd,44930,135,43,4.0
1114,Mumbai,Fashion,Handbag,Nike,Trivedi and Sons,74139,33,4,5.0
1115,Mumbai,Fashion,Sunglasses,Nike,"Reddy, Sura and Khatri",135870,205,117,4.2
1116,Mumbai,Fashion,Sunglasses,LG,Dora-Majumdar,131833,171,142,3.9
1117,Mumbai,Fashion,Sunglasses,Puma,"Seth, Singhal and Bedi",12839,221,4,3.8
1118,Mumbai,Fashion,Sunglasses,Reliance,Mahajan-Sundaram,42491,16,7,4.6
1119,Mumbai,Fashion,Sunglasses,Samsung,"Loyal, Majumdar and Singhal",29570,362,161,4.7
1120,Mumbai,Home Appliances,Refrigerator,HP,"Sibal, Handa and Garg",37443,209,126,3.9
1121,Mumbai,Home Appliances,Refrigerator,Prestige,Jani Ltd,33477,228,79,3.8
