Order_ID,Date,City,Category,Product,Sales,Amount,Revenue
ORD000001,2025-12-13,Nashik,Furniture,Sofa,8,268474.32,74863.32
ORD000002,2025-09-16,Chandigarh,Furniture,Wardrobe,2,9133.2,1269.81
ORD000003,2025-04-23,Indore,Electronics,Headphones,23,2242906.64,509440.8
ORD000004,2025-08-05,Nashik,Books,Dictionary,1,113845.22,14015.26
ORD000005,2025-02-17,Lucknow,Beauty,Face Wash,7,1005103.68,171752.65
ORD000006,2026-01-09,Mysuru,Sports,Cricket Bat,12,1087182.36,323898.41
ORD000007,2025-11-18,Pune,Books,Dictionary,13,154857.95,24646.9
ORD000008,2026-01-31,Indore,Beauty,Moisturizer,23,242105.36,62594.19
ORD000009,2026-03-04,Patna,Appliances,Refrigerator,4,228323.68,46217.46
ORD000010,2026-04-25,Mangalore,Beauty,Perfume,12,378061.2,57497.06
ORD000011,2025-07-14,Kanpur,Furniture,Wardrobe,18,1969129.98,244405.8
ORD000012,2025-01-29,Patna,Appliances,Air Conditioner,22,1071619.56,308031.33
ORD000013,2026-04-28,Visakhapatnam,Groceries,Rice,13,523046.68,71639.28
ORD000014,2025-03-15,Thiruvananthapuram,Beauty,Perfume,13,1725282.0,437479.77
ORD000015,2025-10-27,Ludhiana,Appliances,Washing Machine,24,2021977.92,305197.82
ORD000016,2025-09-18,Vijayawada,Sports,Yoga Mat,12,395714.16,138236.87
ORD000017,2025-12-15,Hyderabad,Books,Novel,4,92043.64,11339.33
ORD000018,2025-09-28,Ahmedabad,Sports,Yoga Mat,13,744961.49,259956.38
ORD000019,2025-10-02,Mumbai,Appliances,Air Conditioner,22,2378996.4,628202.07
ORD000020,2026-05-04,Pune,Appliances,Microwave,10,652713.1,132177.93
ORD000021,2025-06-02,Nagpur,Appliances,Air Conditioner,17,2327349.47,733208.21
ORD000022,2026-04-18,Mangalore,Groceries,Wheat Flour,25,607905.0,205134.46
ORD000023,2026-03-26,Visakhapatnam,Electronics,Headphones,16,48312.96,15984.66
ORD000024,2025-02-13,Hyderabad,Appliances,Washing Machine,8,1053709.12,353705.23
ORD000025,2026-04-30,Tirupati,Books,Novel,25,473787.5,122300.06
ORD000026,2025-10-04,Madurai,Clothing,Jacket,20,1270567.6,174303.47
ORD000027,2025-08-13,Surat,Groceries,Sugar,13,1940547.57,495746.01
ORD000028,2025-10-11,Ludhiana,Books,Novel,8,77579.84,6646.98
ORD000029,2025-04-28,Patna,Groceries,Tea Powder,1,10741.86,2689.74
ORD000030,2025-09-06,Coimbatore,Furniture,Sofa,3,231516.0,35928.7
ORD000031,2025-08-31,Jaipur,Groceries,Tea Powder,24,3368005.92,788725.13
ORD000032,2025-07-01,Guwahati,Groceries,Cooking Oil,7,99676.08,25708.99
ORD000033,2025-11-27,Gurugram,Sports,Gym Gloves,24,197286.24,50590.7
ORD000034,2025-05-08,Vijayawada,Furniture,Sofa,24,1223075.04,382396.35
ORD000035,2025-08-25,Tirupati,Groceries,Wheat Flour,15,316699.95,41025.87
ORD000036,2025-10-04,Noida,Groceries,Rice,18,265977.36,68111.25
ORD000037,2026-03-19,Ludhiana,Electronics,Laptop,6,366128.82,76874.89
