City,Product,Quantity_Sold,Unit_Price,Total_Sales,Sale_Date
Surat,Smartphone,13.0,97696,1270048,2025-05-08
Chennai,Headphones,378.0,13934,5267052,2025-11-24
Mysuru,Tablet,45.0,77897,3505365,2025-07-02
Bengaluru,Smartphone,112.0,30995,3471440,2025-09-20
Bengaluru,Tablet,102.0,94350,9623700,2025-11-23
Jaipur,Keyboard,113.0,59378,6709714,2025-10-09
Patna,Printer,4.0,99958,399832,2025-03-23
Pune,Backpack,143.0,20879,2985697,2025-04-25
Kolkata,Smartphone,48.0,50297,2414256,2025-02-12
Kochi,Backpack,310.0,35171,10903010,2025-01-24
Ahmedabad,Tablet,64.0,50115,3207360,2025-02-18
Hyderabad,Printer,322.0,81570,26265540,2025-06-19
Chennai,T-Shirt,36.0,6506,234216,2025-11-08
Patna,Watch,41.0,31012,1271492,2025-02-13
Hyderabad,Mouse,326.0,48319,15751994,2025-03-12
Kolkata,Shoes,344.0,35493,12209592,2025-12-22
Surat,Smartphone,312.0,83727,26122824,2025-03-18
Bhopal,Shoes,84.0,61089,5131476,2025-07-09
Mysuru,Speaker,353.0,73500,25945500,2025-04-22
Kolkata,Printer,394.0,7831,3085414,2025-04-27
Bengaluru,Jeans,162.0,53081,8599122,2025-05-03
Chennai,Monitor,483.0,74841,36148203,2025-12-11
Chennai,Speaker,256.0,52356,13403136,2025-11-15
Delhi,Watch,72.0,32825,2363400,2025-12-18
Jaipur,Watch,383.0,77122,29537726,2025-07-19
Pune,Backpack,113.0,18631,2105303,2025-09-16
Mumbai,Jeans,25.0,14871,371775,2025-03-21
Delhi,Jeans,349.0,55833,19485717,2025-10-03
Pune,Keyboard,306.0,61848,18925488,2025-09-09
Jaipur,Printer,483.0,2004,967932,2025-11-24
Mumbai,Speaker,454.0,70881,32179974,2025-05-25
Surat,Backpack,58.0,38969,2260202,2025-07-06
Ahmedabad,Laptop,489.0,95146,46526394,2025-12-09
Jaipur,Jeans,92.0,67042,6167864,2025-02-28
Surat,Watch,431.0,84248,36310888,2025-09-20
Chennai,Headphones,192.0,21674,4161408,2025-09-25
Mysuru,Tablet,471.0,574,270354,2025-10-11
Ahmedabad,Laptop,58.0,48076,2788408,2025-05-08
Bengaluru,Shoes,450.0,74864,33688800,2025-02-03
Bhopal,Mouse,418.0,9571,4000678,2025-09-25
Delhi,Headphones,338.0,62796,21225048,2025-09-06
Hyderabad,Tablet,447.0,80007,35763129,2025-07-07
Mysuru,Tablet,387.0,96173,37218951,2025-12-07
Bhopal,Watch,205.0,88539,18150495,2025-11-12
Ahmedabad,Monitor,265.0,59677,15814405,2025-02-08
Chennai,Smartphone,174.0,3257,566718,2025-10-18
