City,Category,Product,Quantity_Sold,Unit_Price,Total_Revenue,Sale_Date
Delhi,Electronics,Laptop,95.0,4706,447070,2025-04-08
Bengaluru,Electronics,Monitor,12.0,9874,118488,2025-07-02
Jaipur,Electronics,Smartphone,30.0,8479,254370,2025-10-01
Patna,Fashion,Watch,29.0,7559,219211,2025-10-09
Delhi,Electronics,Smartphone,90.0,7124,641160,2025-06-09
Kolkata,Fashion,Shoes,14.0,1719,24066,2025-07-04
Jaipur,Accessories,Mouse,104.0,911,94744,2025-12-15
Surat,Electronics,Camera,11.0,9244,101684,2025-05-27
Bengaluru,Home Appliances,Fan,74.0,3350,247900,2025-12-03
Mumbai,Fashion,Shoes,11.0,14213,156343,2025-04-28
Kolkata,Office,Backpack,59.0,10615,626285,2025-06-06
Surat,Accessories,Keyboard,86.0,4574,393364,2025-12-22
Chennai,Electronics,Monitor,82.0,3003,246246,2025-09-24
Jaipur,Fashion,Watch,49.0,4622,226478,2025-11-23
Kochi,Fashion,Shoes,108.0,12788,1381104,2025-01-08
Mysuru,Electronics,Tablet,52.0,4586,238472,2025-02-07
Pune,Home Appliances,Air Cooler,41.0,3683,151003,2025-11-16
Jaipur,Office,Printer,34.0,2487,84558,2025-04-24
Pune,Home Appliances,Fan,96.0,9777,938592,2025-07-19
Patna,Accessories,Keyboard,18.0,8548,153864,2025-08-03
Surat,Electronics,Laptop,20.0,10480,209600,2025-03-26
Jaipur,Office,Printer,50.0,6452,322600,2025-10-15
Mysuru,Accessories,Headphones,88.0,12008,1056704,2025-02-22
Hyderabad,Home Appliances,Fan,99.0,10701,1059399,2025-06-04
Hyderabad,Office,Printer,59.0,253,14927,2025-12-24
Kochi,Home Appliances,Mixer,65.0,1943,126295,2025-11-10
Delhi,Home Appliances,Air Cooler,26.0,2704,70304,2025-06-25
Ahmedabad,Home Appliances,Air Cooler,118.0,209,24662,2025-10-11
Bengaluru,Electronics,Laptop,119.0,6147,731493,2025-05-08
Mumbai,Fashion,T-Shirt,11.0,12191,134101,2025-08-27
Delhi,Home Appliances,Mixer,17.0,11009,187153,2025-08-18
Chennai,Accessories,Speaker,28.0,9035,252980,2025-12-23
Mysuru,Accessories,Speaker,86.0,10847,932842,2025-06-15
Kolkata,Home Appliances,Fan,16.0,4261,68176,2025-04-03
Bengaluru,Electronics,Monitor,71.0,3970,281870,2025-10-08
Kolkata,Electronics,Laptop,30.0,1304,39120,2025-01-28
Chennai,Electronics,Monitor,31.0,4762,147622,2025-11-16
Ahmedabad,Home Appliances,Mixer,93.0,14656,1363008,2025-10-19
Mumbai,Fashion,Watch,104.0,6869,714376,2025-04-04
Bhopal,Office,Backpack,55.0,6935,381425,2025-08-28
Patna,Electronics,Laptop,8.0,6796,54368,2025-12-11
Delhi,Electronics,Smartphone,25.0,3316,82900,2025-09-15
Mysuru,Office,Printer,36.0,7779,280044,2025-04-28
Bengaluru,Electronics,Camera,104.0,14312,1488448,2025-09-04
Pune,Home Appliances,Mixer,12.0,12546,150552,2025-04-06
Delhi,Office,Backpack,28.0,14366,402248,2025-07-02
Pune,Office,Printer,50.0,4545,227250,2025-08-10
Hyderabad,Home Appliances,Air Cooler,92.0,8173,751916,2025-03-07
Bhopal,Fashion,T-Shirt,75.0,12254,919050,2025-09-02
Mysuru,Accessories,Headphones,7.0,9771,68397,2025-08-17
Delhi,Home Appliances,Mixer,8.0,8520,68160,2025-02-28
Mumbai,Electronics,Monitor,9.0,11262,101358,2025-04-13
Mumbai,Home Appliances,Mixer,75.0,9940,745500,2025-01-20
