City,Category,Product,Quantity_Sold,Unit_Price,Total_Revenue,Sale_Date
Pune,Fashion,Watch,30.0,7896,204056,2025-03-23
Mumbai,Accessories,Speaker,33.0,6653,30827,2025-09-04
Kolkata,Home Appliances,Fan,4.0,5497,21988,2025-11-07
Mysuru,Fashion,Shoes,14.0,7971,48782,2025-03-07
Ahmedabad,Accessories,Mouse,27.0,7991,215757,2025-04-13
Delhi,Accessories,Speaker,11.0,7116,78276,2025-11-04
Chennai,Electronics,Monitor,26.0,1309,34034,2025-10-06
Delhi,Fashion,T-Shirt,16.0,3771,60336,2025-11-13
Hyderabad,Electronics,Monitor,16.0,5976,95616,2025-09-23
Pune,Accessories,Mouse,35.0,7097,248395,2025-06-16
Kochi,Electronics,Laptop,20.0,5437,108740,2025-05-08
Bengaluru,Home Appliances,Air Cooler,32.0,7486,154747,2025-05-05
Mumbai,Accessories,Keyboard,4.0,6275,25100,2025-12-23
Chennai,Electronics,Monitor,15.0,7357,83227,2025-09-20
Chennai,Accessories,Mouse,30.0,202,6060,2025-02-16
Pune,Electronics,Monitor,14.0,459,6426,2025-12-04
Bengaluru,Fashion,Watch,35.0,418,14630,2025-08-06
Bengaluru,Home Appliances,Mixer,13.0,7751,67219,2025-03-04
Bhopal,Fashion,Jeans,6.0,1107,6642,2025-02-23
Bhopal,Home Appliances,Mixer,35.0,3592,125720,2025-08-11
Delhi,Home Appliances,Air Cooler,13.0,5068,65884,2025-05-14
Kochi,Fashion,Watch,5.0,7721,38605,2025-05-13
Bengaluru,Accessories,Headphones,13.0,1964,14412,2025-07-09
Chennai,Accessories,Mouse,3.0,7773,8841,2025-09-10
Bhopal,Home Appliances,Mixer,6.0,1899,11394,2025-11-21
Bengaluru,Electronics,Laptop,38.0,2988,86945,2025-11-15
Patna,Fashion,T-Shirt,2.0,5777,11554,2025-06-28
Kolkata,Fashion,Jeans,1.0,5690,5690,2025-01-23
Chennai,Home Appliances,Mixer,25.0,3230,80750,2025-08-07
Delhi,Fashion,Shoes,5.0,5223,26115,2025-11-24
Delhi,Home Appliances,Air Cooler,38.0,4232,31109,2025-11-10
Ahmedabad,Electronics,Monitor,40.0,1927,14358,2025-07-26
Mysuru,Home Appliances,Air Cooler,23.0,7151,24922,2025-02-02
Bhopal,Home Appliances,Fan,2.0,4736,9472,2025-08-04
Patna,Electronics,Tablet,7.0,4646,32522,2025-03-05
Mysuru,Fashion,Jeans,23.0,6135,141105,2025-07-23
Hyderabad,Electronics,Camera,21.0,1050,22050,2025-08-27
Jaipur,Fashion,Shoes,15.0,386,5790,2025-01-08
Bhopal,Electronics,Monitor,6.0,1124,6744,2025-11-02
Mysuru,Home Appliances,Fan,33.0,4011,55356,2025-08-02
Delhi,Accessories,Headphones,39.0,4403,139379,2025-02-23
Chennai,Electronics,Monitor,15.0,3893,58395,2025-01-04
Hyderabad,Accessories,Mouse,8.0,5238,41904,2025-02-10
Lucknow,Home Appliances,Air Cooler,13.0,2766,25138,2025-03-11
Chennai,Fashion,Jeans,28.0,770,21560,2025-06-20
Mysuru,Accessories,Mouse,10.0,5560,31036,2025-08-25
Kochi,Electronics,Smartphone,34.0,1429,48586,2025-12-20
Bengaluru,Electronics,Monitor,29.0,2971,3917,2025-02-16
Hyderabad,Home Appliances,Fan,10.0,1692,16920,2025-03-07
Kolkata,Accessories,Keyboard,19.0,3379,64201,2025-07-09
Surat,Electronics,Tablet,16.0,7117,113872,2025-03-02
Kolkata,Home Appliances,Mixer,23.0,1080,24840,2025-10-16
Kolkata,Fashion,Jeans,26.0,7872,7633,2025-08-27
Bengaluru,Electronics,Tablet,32.0,4987,14948,2025-02-12
Pune,Accessories,Speaker,37.0,5166,190994,2025-05-18
Kolkata,Accessories,Mouse,11.0,7626,35068,2025-12-06
Mumbai,Home Appliances,Fan,40.0,3447,66721,2025-08-24
Patna,Fashion,Jeans,5.0,2112,10560,2025-01-20
Bhopal,Accessories,Speaker,15.0,7824,117360,2025-06-14
Mysuru,Electronics,Monitor,18.0,4000,72000,2025-12-11
Kolkata,Electronics,Monitor,19.0,7156,135964,2025-12-06
Mumbai,Accessories,Keyboard,26.0,3658,12375,2025-01-09
Bhopal,Electronics,Tablet,28.0,7720,127603,2025-09-09
Ahmedabad,Electronics,Camera,20.0,1593,24622,2025-02-25
Jaipur,Fashion,T-Shirt,22.0,5114,112508,2025-03-13
Kochi,Electronics,Camera,22.0,3430,48527,2025-10-14
Pune,Fashion,T-Shirt,29.0,3116,90364,2025-01-10
Ahmedabad,Electronics,Camera,39.0,2454,95706,2025-04-26
Delhi,Home Appliances,Air Cooler,34.0,7035,231317,2025-03-16
Patna,Fashion,Shoes,25.0,174,4350,2025-07-04
Hyderabad,Fashion,Jeans,16.0,6889,110224,2025-03-14
Surat,Accessories,Speaker,25.0,3287,82175,2025-12-25
Jaipur,Home Appliances,Mixer,36.0,4774,171864,2025-03-02
Bengaluru,Electronics,Laptop,33.0,3606,103572,2025-07-08
Jaipur,Electronics,Laptop,15.0,5589,83835,2025-05-10
Kolkata,Fashion,Watch,40.0,6265,147028,2025-06-22
Pune,Accessories,Speaker,18.0,705,12690,2025-04-27
Kochi,Electronics,Tablet,35.0,378,13230,2025-06-25
Lucknow,Home Appliances,Fan,17.0,3690,38185,2025-12-16
Patna,Accessories,Mouse,1.0,727,727,2025-02-17
Mumbai,Home Appliances,Mixer,11.0,2312,15017,2025-01-23
Surat,Home Appliances,Fan,2.0,7586,15172,2025-06-19
Mysuru,Fashion,Shoes,16.0,4804,76864,2025-09-20
Delhi,Accessories,Mouse,21.0,7751,84083,2025-05-04
Kolkata,Accessories,Speaker,33.0,5299,63153,2025-04-08
Surat,Fashion,Watch,31.0,3935,39136,2025-07-12
Hyderabad,Fashion,Jeans,40.0,7370,62219,2025-12-10
Kolkata,Home Appliances,Fan,36.0,5306,156687,2025-05-19
Kochi,Electronics,Camera,40.0,3259,130360,2025-07-16
Delhi,Accessories,Speaker,2.0,5915,11830,2025-07-24
Delhi,Accessories,Mouse,23.0,3171,72933,2025-02-19
Bengaluru,Fashion,T-Shirt,6.0,3924,23544,2025-04-06
Kolkata,Home Appliances,Fan,38.0,2601,20780,2025-07-04
Jaipur,Home Appliances,Air Cooler,29.0,3855,111795,2025-10-10
Lucknow,Electronics,Monitor,10.0,669,6690,2025-12-15
Mysuru,Electronics,Tablet,2.0,4803,9606,2025-11-18
Pune,Electronics,Monitor,7.0,851,5957,2025-06-26
Patna,Electronics,Tablet,1.0,5110,5110,2025-01-15
Bhopal,Fashion,T-Shirt,27.0,599,16173,2025-11-21
Ahmedabad,Accessories,Mouse,32.0,857,15586,2025-12-15
Lucknow,Accessories,Keyboard,25.0,418,10450,2025-07-25
Bengaluru,Electronics,Laptop,18.0,1616,29088,2025-07-27
Chennai,Fashion,Watch,11.0,7454,81994,2025-11-19
Jaipur,Accessories,Keyboard,5.0,1258,6290,2025-09-02
Lucknow,Accessories,Headphones,38.0,5916,224808,2025-10-10
Bengaluru,Fashion,T-Shirt,26.0,4875,126750,2025-06-25
Surat,Accessories,Speaker,3.0,7280,21840,2025-09-20
Mumbai,Accessories,Keyboard,22.0,6157,81189,2025-09-06
Bhopal,Home Appliances,Fan,8.0,145,1160,2025-06-22
Lucknow,Accessories,Keyboard,30.0,490,14700,2025-03-04
Ahmedabad,Electronics,Tablet,36.0,7379,8424,2025-05-17
Ahmedabad,Fashion,T-Shirt,24.0,1923,46152,2025-12-07
Delhi,Electronics,Laptop,30.0,5228,11567,2025-08-27
Patna,Home Appliances,Fan,29.0,5807,113381,2025-08-19
Mysuru,Accessories,Speaker,5.0,2156,10780,2025-07-07
Kolkata,Electronics,Monitor,14.0,689,9646,2025-09-01
Jaipur,Fashion,T-Shirt,39.0,3370,131430,2025-08-21
Mumbai,Electronics,Tablet,23.0,4959,114057,2025-06-03
Ahmedabad,Electronics,Tablet,12.0,4045,48540,2025-01-19
Jaipur,Accessories,Headphones,29.0,253,7337,2025-07-07
Lucknow,Electronics,Tablet,10.0,4995,29973,2025-12-27
Mumbai,Home Appliances,Air Cooler,16.0,116,1856,2025-11-23
Patna,Accessories,Headphones,28.0,1615,45220,2025-11-10
Hyderabad,Fashion,T-Shirt,18.0,3298,59364,2025-01-06
Surat,Accessories,Mouse,37.0,7523,70810,2025-08-13
Kolkata,Accessories,Keyboard,33.0,760,25080,2025-04-24
Jaipur,Home Appliances,Fan,7.0,180,1260,2025-11-05
Surat,Fashion,T-Shirt,3.0,2039,6117,2025-10-23
Surat,Home Appliances,Air Cooler,31.0,6212,160878,2025-09-10
Bengaluru,Home Appliances,Mixer,25.0,3344,83600,2025-02-21
Pune,Fashion,Shoes,27.0,6890,45776,2025-02-12
Mysuru,Fashion,Jeans,22.0,1434,31548,2025-04-27
Ahmedabad,Accessories,Mouse,11.0,2717,29887,2025-08-04
Mysuru,Home Appliances,Fan,27.0,1460,39420,2025-08-03
Lucknow,Accessories,Keyboard,27.0,4076,110052,2025-11-05
Lucknow,Electronics,Monitor,35.0,6368,143886,2025-05-17
Jaipur,Electronics,Smartphone,33.0,4308,142164,2025-09-22
Hyderabad,Electronics,Smartphone,1.0,3742,3742,2025-11-23
Lucknow,Home Appliances,Air Cooler,29.0,7350,85690,2025-04-09
Bhopal,Accessories,Mouse,10.0,6230,62300,2025-10-23
Mumbai,Electronics,Smartphone,7.0,3190,22330,2025-12-05
