Order_ID,Date,City,Category,Product,Sales,Amount,Revenue,Total Quantity
ORD000005,2025-02-17,Lucknow,Beauty,Face Wash,7.0,1005103.68,171752.65,7.0
ORD000012,2025-01-29,Patna,Appliances,Air Conditioner,22.0,1071619.56,308031.33,29.0
ORD000014,2025-03-15,Thiruvananthapuram,Beauty,Perfume,13.0,1725282.0,437479.77,42.0
ORD000024,2025-02-13,Hyderabad,Appliances,Washing Machine,8.0,1053709.12,353705.23,50.0
ORD000042,2025-02-04,Varanasi,Clothing,T-Shirt,3.0,383148.75,37740.44,53.0
ORD000046,2025-02-21,Mumbai,Beauty,Lipstick,15.0,1398176.55,324388.54,68.0
ORD000050,2025-03-21,Agra,Furniture,Dining Table,4.0,533871.72,149725.66,72.0
ORD000052,2025-02-17,Thiruvananthapuram,Appliances,Air Conditioner,9.0,1222289.46,377012.74,81.0
ORD000054,2025-02-27,Noida,Clothing,Shoes,18.0,1905831.9,441094.98,99.0
ORD000073,2025-01-24,Surat,Furniture,Dining Table,8.0,968030.24,115956.05,107.0
ORD000081,2025-03-12,Nashik,Appliances,Washing Machine,11.0,528269.06,119304.87,118.0
ORD000091,2025-01-21,Patna,Electronics,Tablet,21.0,218103.69,73820.93,139.0
ORD000093,2025-03-27,Bhopal,Furniture,Wardrobe,15.0,1574247.0,451907.26,154.0
ORD000105,2025-01-09,Kochi,Groceries,Sugar,21.0,2242908.78,450840.65,175.0
ORD000111,2025-01-08,Indore,Appliances,Refrigerator,10.0,341997.3,43929.29,185.0
ORD000112,2025-03-06,Bengaluru,Clothing,Jacket,2.0,166097.02,44564.28,187.0
ORD000119,2025-03-30,Bhopal,Groceries,Sugar,9.0,891883.62,109171.38,196.0
ORD000121,2025-02-06,Vadodara,Electronics,Smartphone,23.0,977028.04,304924.41,219.0
ORD000122,2025-03-18,Indore,Groceries,Milk,14.0,242269.58,34086.98,233.0
ORD000128,2025-02-16,Nagpur,Books,Notebook,19.0,1243344.04,372811.9,252.0
ORD000129,2025-03-24,Guwahati,Books,Notebook,11.0,530492.93,57421.6,263.0
ORD000132,2025-01-28,Mumbai,Sports,Yoga Mat,22.0,2869200.18,587421.72,285.0
ORD000135,2025-03-23,Delhi,Books,Novel,21.0,1918767.06,277473.51,306.0
ORD000176,2025-01-26,Bhopal,Books,Novel,21.0,2015159.79,689578.0,327.0
ORD000179,2025-02-26,Lucknow,Electronics,Tablet,5.0,405391.5,119833.21,332.0
ORD000181,2025-02-28,Agra,Electronics,Smartphone,2.0,38202.22,7398.22,334.0
ORD000185,not-a-date,Noida,Furniture,Bed,3.0,404700.27,67572.88,337.0
ORD000187,2025-02-20,Madurai,Sports,Yoga Mat,10.0,681119.4,165828.89,347.0
ORD000194,2025-03-21,Surat,Electronics,Tablet,12.0,187556.64,40700.05,359.0
ORD000201,2025-02-11,Lucknow,Furniture,Sofa,6.0,679139.64,63456.01,365.0
ORD000205,2025-01-04,Jaipur,Appliances,Washing Machine,25.0,960059.25,161859.3,390.0
ORD000211,2025-03-28,Surat,Furniture,Bed,24.0,1223832.96,207964.13,414.0
ORD000228,2025-02-09,Thiruvananthapuram,Groceries,Milk,7.0,238411.6,27928.17,421.0
ORD000230,2025-03-20,Coimbatore,Electronics,Camera,25.0,2318573.0,559370.9,446.0
ORD000241,2025-01-10,Kochi,Clothing,Shoes,15.0,1385110.5,449581.27,461.0
ORD000248,2025-02-23,Ahmedabad,Electronics,Tablet,12.0,434937.36,111960.79,473.0
ORD000249,2025-03-31,Bengaluru,Beauty,Perfume,12.0,983369.52,294664.11,485.0
ORD000259,2025-01-30,Chandigarh,Beauty,Moisturizer,9.0,863608.05,253640.83,494.0
ORD000260,2025-03-23,Vijayawada,Furniture,Bookshelf,12.0,924139.08,261043.84,506.0
ORD000266,2025-03-04,Vadodara,Books,Engineering Book,23.0,3162044.37,672326.69,529.0
